id,Name,RenderingModelGroup,EngineFamily,EngineGroup,EngineImplementationClass,InteractionComplexity,SemanticLayer,SessionPersistence,WorkspaceModel,StateModel,HostPlatform,RuntimeEnvironment,PlatformGroup,EcosystemFamily,EcosystemContext,EcosystemGroup,PrimaryLanguage,ImplementationStyle,FirstReleaseYear,ArchitectureVersionEpoch,ActivitySignal,PublicLifecycleLabel,MaturityScore,PublicMaturityLabel,public_status_label,PrimarySource,Notes,EngineArchitectureLevel,InteractionModelRefined,ModelLayer_RenderingModelGroup,ModelLayer_EngineGroup,ModelLayer_InteractionModelRefined,ModelLayer_PlatformGroup,ModelLayer_EcosystemGroup,ModelLayer_PrimaryLanguage,ModelLayer_FirstReleaseYear,ModelLayer_ActivitySignal,ModelLayer_MaturityScore,ModelLayer_public_status_label,InteractionModelRefined_v4,ModelLayer_InteractionComplexity,ModelLayer_SemanticLayer,ModelLayer_StateModel,ModelLayer_EngineArchitectureLevel,SemanticLayer_v5,ModelLayer_EngineFamily,ModelLayer_SessionPersistence,ModelLayer_WorkspaceModel,ModelLayer_EngineImplementationClass,ModelLayer_RuntimeEnvironment,ModelLayer_HostPlatform,ModelLayer_EcosystemContext,ModelLayer_EcosystemFamily,ModelLayer_ImplementationStyle,ModelLayer_ArchitectureVersionEpoch,ModelLayer_PublicMaturityLabel,ModelLayer_PublicLifecycleLabel
term_aixterm,aixterm,text_grid_cpu,reused_widget_engine,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,standalone_or_independent,standalone,standalone,C,native_systems_language,1989,foundational_unix,archived,archived_or_legacy,1,Legacy,Legacy,https://www.ibm.com/docs/en/aix,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""reclassification"",""ontology_refinement""],""evidence_basis"":[""project_page""],""confidence"":""high"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""InteractionModelRefined"",""value"":""classic_tty"",""basis"":""v4 classic_tty default"",""source_url"":""https://www.ibm.com/docs/en/aix""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""classic_tty / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://www.ibm.com/docs/en/aix""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://www.ibm.com/docs/en/aix""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://www.ibm.com/docs/en/aix""}],""source_urls"":[""https://www.ibm.com/docs/en/aix""],""review_status"":""v6_validated""}",reused_terminal_widget,classic_tty,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,classic_tty,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_aterm,aterm,text_grid_cpu,reused_widget_engine,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,standalone_or_independent,standalone,standalone,C,native_systems_language,1998,x11_toolkit_expansion,archived,archived_or_legacy,1,Legacy,Legacy,https://sourceforge.net/projects/aterm/,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""project_page""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://sourceforge.net/projects/aterm/""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""classic_tty / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://sourceforge.net/projects/aterm/""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://sourceforge.net/projects/aterm/""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://sourceforge.net/projects/aterm/""}],""source_urls"":[""https://sourceforge.net/projects/aterm/""],""review_status"":""v6_validated""}",reused_terminal_widget,classic_tty,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,classic_tty,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_eterm,Eterm,text_grid_cpu,reused_widget_engine,terminal_widget_toolkit,generic_terminal_widget,classic_tty,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,standalone_or_independent,standalone,standalone,C,native_systems_language,1997,x11_toolkit_expansion,archived,archived_or_legacy,1,Legacy,Legacy,https://sourceforge.net/projects/eterm/,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""project_page""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://sourceforge.net/projects/eterm/""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""classic_tty / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://sourceforge.net/projects/eterm/""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://sourceforge.net/projects/eterm/""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://sourceforge.net/projects/eterm/""}],""source_urls"":[""https://sourceforge.net/projects/eterm/""],""review_status"":""v6_validated""}",reused_terminal_widget,classic_tty,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,classic_tty,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_evilvte,evilvte,text_grid_cpu,reused_widget_engine,vte_based,vte,multiplexed_ui,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,desktop_ecosystem,gnome_ecosystem,gnome_ecosystem,C,native_systems_language,,unknown_epoch,dormant,inactive_or_dormant,2,Maintained,Maintained,https://www.calno.com/evilvte/,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""project_page""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://www.calno.com/evilvte/""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""multiplexed_ui / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://www.calno.com/evilvte/""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://www.calno.com/evilvte/""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://www.calno.com/evilvte/""}],""source_urls"":[""https://www.calno.com/evilvte/""],""review_status"":""v6_validated""}",reused_terminal_widget,multiplexed_ui,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,multiplexed_ui,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_fbpad,fbpad,framebuffer_direct,minimal_native_engine,low_level_minimal,minimal_native,multiplexed_ui,none,system_console,system_console,system_console,no_window_system,native_runtime,no_window_system,standalone_or_independent,standalone,standalone,C,native_systems_language,2010,gpu_and_web_divergence,dormant,inactive_or_dormant,0,Experimental,Experimental,https://github.com/aligrudi/fbpad,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""codebase""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://github.com/aligrudi/fbpad""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""classic_tty / plain_terminal / system_console"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://github.com/aligrudi/fbpad""},{""field"":""source_deep_audit"",""value"":""updated"",""basis"":""Direct primary-source audit triggered one or more v5.2 field changes."",""source_url"":""https://github.com/aligrudi/fbpad""},{""field"":""v6_ontology"",""value"":""EngineFamily=minimal_native_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=system_console"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://github.com/aligrudi/fbpad""}],""source_urls"":[""https://github.com/aligrudi/fbpad""],""review_status"":""v6_validated""}",minimal_native_engine,multiplexed_ui,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,classic_tty,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_foot,Foot,gpu_accelerated,custom_engine,custom_gpu_engine,custom_gpu_or_renderer,classic_tty,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,standalone_or_independent,standalone,standalone,C,native_systems_language,2019,workflow_gpu_maturation,active,active,3,Active,Active,https://codeberg.org/dnkl/foot,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""codebase""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://codeberg.org/dnkl/foot""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""classic_tty / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://codeberg.org/dnkl/foot""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://codeberg.org/dnkl/foot""},{""field"":""v6_ontology"",""value"":""EngineFamily=custom_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://codeberg.org/dnkl/foot""}],""source_urls"":[""https://codeberg.org/dnkl/foot""],""review_status"":""v6_validated""}",custom_rendering_engine,classic_tty,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,classic_tty,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_gnome_console_kgx,GNOME Console,text_grid_cpu,reused_widget_engine,vte_based,vte,multiplexed_ui,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,desktop_ecosystem,gnome_ecosystem,gnome_ecosystem,C,native_systems_language,2021,workflow_gpu_maturation,active,active,3,Active,Active,https://gitlab.gnome.org/GNOME/console,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""codebase""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://gitlab.gnome.org/GNOME/console""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""multiplexed_ui / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://gitlab.gnome.org/GNOME/console""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://gitlab.gnome.org/GNOME/console""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://gitlab.gnome.org/GNOME/console""}],""source_urls"":[""https://gitlab.gnome.org/GNOME/console""],""review_status"":""v6_validated""}",reused_terminal_widget,multiplexed_ui,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,multiplexed_ui,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_gnome_terminal,GNOME Terminal,text_grid_cpu,reused_widget_engine,vte_based,vte,multiplexed_ui,none,restorable,session_grouping,persistent_workspace,unix_linux_desktop,native_runtime,x11_wayland_native,desktop_ecosystem,gnome_ecosystem,gnome_ecosystem,C,native_systems_language,1999,x11_toolkit_expansion,active,active,3,Active,Active,https://gitlab.gnome.org/GNOME/gnome-terminal,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""codebase""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://gitlab.gnome.org/GNOME/gnome-terminal""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""multiplexed_ui / plain_terminal / persistent_workspace"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://gitlab.gnome.org/GNOME/gnome-terminal""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://gitlab.gnome.org/GNOME/gnome-terminal""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=session_grouping"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://gitlab.gnome.org/GNOME/gnome-terminal""}],""source_urls"":[""https://gitlab.gnome.org/GNOME/gnome-terminal""],""review_status"":""v6_validated""}",reused_terminal_widget,multiplexed_ui,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,multiplexed_ui,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_kermit_vte_terminal,kermit,text_grid_cpu,reused_widget_engine,vte_based,vte,multiplexed_ui,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,desktop_ecosystem,gnome_ecosystem,gnome_ecosystem,C,native_systems_language,2020,workflow_gpu_maturation,dormant,inactive_or_dormant,2,Maintained,Maintained,https://github.com/orhun/kermit,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""codebase""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://github.com/orhun/kermit""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""multiplexed_ui / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://github.com/orhun/kermit""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://github.com/orhun/kermit""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://github.com/orhun/kermit""}],""source_urls"":[""https://github.com/orhun/kermit""],""review_status"":""v6_validated""}",reused_terminal_widget,multiplexed_ui,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,multiplexed_ui,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
term_lcxterm,lcxterm,text_grid_cpu,reused_widget_engine,vte_based,vte,multiplexed_ui,none,ephemeral,none,ephemeral_session,unix_linux_desktop,native_runtime,x11_wayland_native,standalone_or_independent,standalone,standalone,C,native_systems_language,,unknown_epoch,dormant,inactive_or_dormant,0,Experimental,Experimental,https://lcxterm.sourceforge.io/,"{""schema_version"":""notes-v6.0"",""decision_type"":[""classification"",""ontology_refinement""],""evidence_basis"":[""project_page""],""confidence"":""medium"",""ambiguous_fields"":[""InteractionModelRefined""],""justifications"":[{""field"":""v4_status"",""value"":""retained"",""basis"":""Retained after v4 parsimonious ontology validation."",""source_url"":""https://lcxterm.sourceforge.io/""},{""field"":""InteractionComplexity/SemanticLayer/StateModel"",""value"":""multiplexed_ui / plain_terminal / ephemeral_session"",""basis"":""v5 ontology refinement: separates UI complexity, semantic abstraction, and state/session model."",""source_url"":""https://lcxterm.sourceforge.io/""},{""field"":""source_deep_audit"",""value"":""retained"",""basis"":""No source-backed correction was required in the final source audit."",""source_url"":""https://lcxterm.sourceforge.io/""},{""field"":""v6_ontology"",""value"":""EngineFamily=reused_widget_engine; RuntimeEnvironment=native_runtime; WorkspaceModel=none"",""basis"":""v6 ontology refinement separates family/implementation, host/runtime, persistence/workspace, ecosystem context, and maturity semantics."",""source_url"":""https://lcxterm.sourceforge.io/""}],""source_urls"":[""https://lcxterm.sourceforge.io/""],""review_status"":""v6_validated""}",reused_terminal_widget,multiplexed_ui,structural_core,structural,structural,context,context,context,metadata,metadata,metadata,metadata,multiplexed_ui,structural_core,structural_extended,structural_extended,annotation,plain_terminal,structural_core,structural_extended,structural_extended,context,context,context,context,context,context,metadata,metadata,metadata
