id,Name,ScopeClass,Category,rendering_generation,ecosystem,era,Arch,LayoutModel,RenderingSurface,Status,ActivitySignal,DisplayDependency,PrimaryConnection,MultiProtocol,EmulationTarget,CoreEngine,EngineFamily,RenderingModel,InteractionModel,AbstractionLevel,Extensibility,StateModel,Confidence,Language,LanguageRole,MaturityScore,FirstReleaseYear,LineageSoftware,LineageConcept,LineageConfidence,Notes,PrimarySource,public_category_label,public_status_label,explorer_summary,lineage_software_list,lineage_concept_list
term_aixterm,aixterm,historical_terminal_emulator,X11_legacy,cpu_classic,x11_xterm_family,legacy,native,tabs,native_gui,Legacy,archived,x11_required,local,False,vt_xterm,custom,xterm_lineage,text_grid,stream,terminal_level,none,stateless,high,C,metadata_only,1,1989,xterm,xterm_compatibility;tabbed_terminal,high,"xterm-compatible terminal emulator with tabs layout, native_gui surface.",https://www.ibm.com/docs/en/aix,X11 Legacy,Legacy,"aixterm is classified as X11 Legacy, with legacy status and native gui rendering.",xterm,xterm_compatibility|tabbed_terminal
term_alacritty,Alacritty,unix_linux_terminal_emulator,GPU_modern,gpu_modern,standalone,modern,native,none,native_gui,Active,active,x11_compatible,local,False,vt_xterm,custom,custom_gpu,gpu_cells,stream,terminal_level,config,stateless,high,Rust,metadata_only,3,2016,custom_root,xterm_compatibility;gpu_acceleration;configuration_driven,high,GPU-accelerated terminal emulator focused on simple native rendering and high throughput.,https://github.com/alacritty/alacritty,GPU Modern,Active,"Alacritty is classified as GPU Modern, with active status and native gui rendering.",custom_root,xterm_compatibility|gpu_acceleration|configuration_driven
term_aterm,aterm,historical_terminal_emulator,X11_legacy,cpu_classic,x11_xterm_family,legacy,native,none,native_gui,Legacy,archived,x11_required,local,False,vt_xterm,custom,rxvt_lineage,text_grid,stream,terminal_level,config,stateless,high,C,metadata_only,1,1998,rxvt;xterm,xterm_compatibility;rxvt_minimalism;configuration_driven,high,"xterm-compatible terminal emulator with native_gui surface, config extensibility.",https://sourceforge.net/projects/aterm/,X11 Legacy,Legacy,"aterm is classified as X11 Legacy, with legacy status and native gui rendering.",rxvt|xterm,xterm_compatibility|rxvt_minimalism|configuration_driven
term_black_box,Black Box,unix_linux_terminal_emulator,VTE_ecosystem,cpu_classic,vte,modern,native,tabs,native_gui,Active,active,x11_compatible,local,False,vt_xterm,VTE,VTE_wrapper,text_grid,stream,terminal_level,config,stateless,high,Vala,metadata_only,3,2021,VTE,xterm_compatibility;tabbed_terminal;desktop_integration;configuration_driven,high,"GTK/VTE terminal emulator with tabs layout, native_gui surface, config extensibility.",https://gitlab.gnome.org/raggesilver/blackbox,VTE Ecosystem,Active,"Black Box is classified as VTE Ecosystem, with active status and native gui rendering.",VTE,xterm_compatibility|tabbed_terminal|desktop_integration|configuration_driven
term_cantera_term,Cantera Term,unix_linux_terminal_emulator,Experimental_UI,mixed_or_experimental,experimental_ui,modern,native,none,native_gui,Experimental,dormant,x11_compatible,local,False,vt_xterm,custom,custom_native,text_grid,stream,terminal_level,none,stateless,low,,metadata_only,0,2019,custom_root,xterm_compatibility,inferred,terminal emulator with native_gui surface.,https://gitlab.com/alexanderalemayhu/cantera-term,Experimental UI,Experimental,"Cantera Term is classified as Experimental UI, with experimental status and native gui rendering.",custom_root,xterm_compatibility
term_color_xterm,color-xterm,historical_terminal_emulator,X11_legacy,cpu_classic,x11_xterm_family,legacy,native,tabs,native_gui,Legacy,archived,x11_compatible,local,False,vt_xterm,custom,xterm_lineage,text_grid,stream,terminal_level,none,stateless,medium,C,metadata_only,1,1992,xterm,xterm_compatibility;tabbed_terminal,inferred,"xterm-compatible terminal emulator with tabs layout, native_gui surface.",https://invisible-island.net/xterm/,X11 Legacy,Legacy,"color-xterm is classified as X11 Legacy, with legacy status and native gui rendering.",xterm,xterm_compatibility|tabbed_terminal
term_contour,Contour,unix_linux_terminal_emulator,GPU_modern,gpu_modern,standalone,modern,native,tabs,native_gui,Active,active,x11_compatible,local,False,vt_xterm,custom,custom_gpu,gpu_cells,stream,terminal_level,config,stateless,high,C++,metadata_only,3,2020,custom_root,xterm_compatibility;tabbed_terminal;gpu_acceleration;configuration_driven,high,"GPU-accelerated terminal emulator with tabs layout, native_gui surface, config extensibility.",https://github.com/contour-terminal/contour,GPU Modern,Active,"Contour is classified as GPU Modern, with active status and native gui rendering.",custom_root,xterm_compatibility|tabbed_terminal|gpu_acceleration|configuration_driven
term_cool_retro_term,Cool Retro Term,unix_linux_terminal_emulator,Experimental_UI,mixed_or_experimental,experimental_ui,modern,native,none,native_gui,Maintenance,dormant,x11_compatible,local,False,vt_xterm,custom,custom_native,text_grid,stream,terminal_level,config,stateless,high,"QML, C++",metadata_only,2,2014,custom_root,xterm_compatibility;retro_visualization;configuration_driven,inferred,"terminal emulator with native_gui surface, config extensibility.",https://github.com/Swordfish90/cool-retro-term,Experimental UI,Maintained,"Cool Retro Term is classified as Experimental UI, with maintained status and native gui rendering.",custom_root,xterm_compatibility|retro_visualization|configuration_driven
term_cosmic_terminal,COSMIC Terminal,unix_linux_terminal_emulator,GPU_modern,gpu_modern,standalone,modern,native,tabs,native_gui,Active,active,x11_compatible,local,False,vt_xterm,custom,custom_gpu,gpu_cells,stream,terminal_level,none,stateless,high,Rust,metadata_only,3,2024,custom_root,xterm_compatibility;tabbed_terminal;gpu_acceleration,high,"GPU-accelerated terminal emulator with tabs layout, native_gui surface.",https://github.com/pop-os/cosmic-term,GPU Modern,Active,"COSMIC Terminal is classified as GPU Modern, with active status and native gui rendering.",custom_root,xterm_compatibility|tabbed_terminal|gpu_acceleration
term_darktile,darktile,unix_linux_terminal_emulator,GPU_modern,gpu_modern,standalone,modern,native,tabs,native_gui,Maintenance,dormant,x11_compatible,local,False,vt_xterm,custom,custom_gpu,gpu_cells,stream,terminal_level,config,stateless,high,Go,metadata_only,2,2021,custom_root,xterm_compatibility;tabbed_terminal;gpu_acceleration;configuration_driven,high,"GPU-accelerated terminal emulator with tabs layout, native_gui surface, config extensibility.",https://github.com/liamg/darktile,GPU Modern,Maintained,"darktile is classified as GPU Modern, with maintained status and native gui rendering.",custom_root,xterm_compatibility|tabbed_terminal|gpu_acceleration|configuration_driven
